-11.70|40.682500|Newark  Newark International Airport  NJ|-74.169440|2024-02-06 01:51:00+00|1016.80|34.00|KEWR|2.80|A Few Clouds|10.00|North|18.40|-3.00||
-11.70|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-06 06:51:00+00|1018.20|41.00|KLGA|0.00|Fair|360.00|North|9.20|-4.00||
-11.70|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-06 06:51:00+00|1018.20|41.00|KLGA|0.00|Fair|360.00|North|9.20|-4.00||
-11.70|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-06 06:51:00+00|1018.20|41.00|KLGA|0.00|Fair|360.00|North|9.20|-4.00||
-11.70|40.858890|Teterboro  Teterboro Airport  NJ|-74.056670|2024-01-22 07:51:00+00|1033.90|65.00|KTEB|-6.10|Fair|0.00|North|0.00|||
-11.70|40.858890|Teterboro  Teterboro Airport  NJ|-74.056670|2024-01-22 07:51:00+00|1033.90|65.00|KTEB|-6.10|Fair|0.00|North|0.00|||
-11.70|41.062370|White Plains - Westchester County Airport  NY|-73.704560|2024-02-06 10:56:00+00|1020.70|55.00|KHPN|-3.90|Fair|340.00|North|11.50|-10.00||
-11.70|41.062370|White Plains - Westchester County Airport  NY|-73.704560|2024-02-06 10:56:00+00|1020.70|55.00|KHPN|-3.90|Fair|340.00|North|11.50|-10.00||
-11.70|41.062370|White Plains - Westchester County Airport  NY|-73.704560|2024-02-06 10:56:00+00|1020.70|55.00|KHPN|-3.90|Fair|340.00|North|11.50|-10.00||
-11.10|40.639150|New York  Kennedy International Airport  NY|-73.763930|2024-01-05 05:51:00+00|1023.00|53.00|KJFK|-2.80|Fair|330.00|Northwest|15.00|-9.00||
-11.10|40.639150|New York  Kennedy International Airport  NY|-73.763930|2024-01-22 07:51:00+00|1034.10|63.00|KJFK|-5.00|Fair|340.00|North|9.20|||
-11.10|40.639150|New York  Kennedy International Airport  NY|-73.763930|2024-01-22 07:51:00+00|1034.10|63.00|KJFK|-5.00|Fair|340.00|North|9.20|||
-11.10|40.858890|Teterboro  Teterboro Airport  NJ|-74.056670|2024-01-05 06:51:00+00|1024.10|58.00|KTEB|-3.90|Fair|330.00|Northwest|8.10|-9.00||
-11.10|40.858890|Teterboro  Teterboro Airport  NJ|-74.056670|2024-01-18 20:51:00+00|1017.80|45.00|KTEB|-0.60|Mostly Cloudy|200.00|South|8.10|-4.00||
-11.10|41.062370|White Plains - Westchester County Airport  NY|-73.704560|2024-01-23 01:56:00+00|1031.10|42.00|KHPN|0.60|Partly Cloudy|220.00|Southwest|-3.00||6.90|
-11.10|41.062370|White Plains - Westchester County Airport  NY|-73.704560|2024-01-23 01:56:00+00|1031.10|42.00|KHPN|0.60|Partly Cloudy|220.00|Southwest|6.90|-3.00||
-10.60|40.639150|New York  Kennedy International Airport  NY|-73.763930|2024-01-05 09:51:00+00|1024.60|57.00|KJFK|-3.30|Mostly Cloudy|340.00|North|11.50|-9.00||
